playlist_name,spotify_ID,2019-05-12,2019-05-19,2019-05-26,2019-06-02,2019-06-09,2019-06-16
Todo Reggaeton 2019,4csIMGPI3aGo3Xy7WG8jBi,399499,399613,399694,399792,399962,400015
Todo Ã‰xitos 2019,2ji5tRQVfnhaX1w9FhmSzk,356771,357081,357290,357368,357556,357654
Modo Gym On,5t8j58NAtPUxqseTMvhXrz,336852,336712,336541,336396,336189,336057
Canciones que lo petan - Ed Sheeran ft. Justin Bieber - I don't care,5zE2KihoxgGQ42T3zzb5uG,321244,321155,321315,321319,321290,321285
Sertanejo 2019 Maio - TOP 100 MÃºsicas Sertanejas Mais Tocadas (Sucessos Sertanejos 2019),68kJ4ASW7AWdDKMiC3C7mC,321770,326435,331386,336522,341654,347880
Tropical House,2SRbIs0eBQwHeTP7kErjwo,276639,277584,278625,279856,281483,282967
THIS IS House,5luLzoQGyTQOEKhawTDvaD,298196,297955,297711,297470,297266,297070
Hidden Gems,4q57sB8Tywz9nWsNZOw5Bp,306357,324674,339927,350010,359676,369948
Rocking Indie,3d7TR33kVMtPrLwphUSc98,305323,324806,340983,351818,361505,371812
triple j Hitlist,7vFQNWXoblEJXpbnTuyz76,282915,283279,283621,284028,284447,284827
Love Songs 2010s 2000s 90s,5KbTzqKBqxQRD8OBtJTZrS,282032,282776,283557,284387,285065,285938
Fresh Chill ,2YbWBh4d9YlVIfPdhW2tYJ,289091,306481,320801,330561,340245,350567
