release_date,peak,artist,track,label
May 28,24,Nelly Featuring Jung Tru &amp; King Jacob,Errtime,Derrty/Universal
May 28,39,Frankie J.,How To Deal,Columbia 80133
May 28,40,Lyfe Jennings,Must Be Nice,Columbia 80413
May 28,75,Darryl Worley,If Something Should Happen,DreamWorks
Jun 4,8,D.H.T.,Listen To Your Heart,Robbins 72116
Jun 4,9,Fat Joe Featuring Nelly,Get It Poppin’,Terror Squad 93794
Jun 4,22,Mike Jones,Back Then,Swishahouse/Asylum
Jun 4,28,Toby Keith,As Good As I Once Was,DreamWorks
Jun 4,32,"Game, The",Dreams,Aftermath/G-Unit 004953
Jun 4,35,Teairra Mari,Make Her Feel Good,Roc-A-Fella/Def Jam 004632
Jun 4,64,Keith Anderson,Pickin’ Wildflowers,Arista Nashville
Jun 4,64,Kenny Chesney,Keg In The Closet,BNA
Jun 11,2,Rihanna,Pon de Replay,SRP/Def Jam 004809
Jun 11,9,Ludacris Featuring Bobby Valentino,Pimpin’ All Over The World,DTP/Def Jam South 004851
Jun 11,29,Faith Hill,Mississippi Girl,Warner Bros.
Jun 11,73,Blake Shelton,Goodbye Time,Warner Bros.
Jun 11,88,Bobby Pinson,Don’t Ask Me How I Know,RCA Nashville
Jun 18,60,Eminem,Ass Like That,Shady/Aftermath 004901
Jun 18,66,Natalie Featuring Baby Bash,Energy,Latium/Universal
Jun 18,75,T.I.,ASAP,Grand Hustle 93768
Jun 18,78,Daddy Yankee,Like You,El Cartel Album Cut
Jun 25,18,"Black Eyed Peas, The",Pump It,A&amp;M 006306
Jun 25,29,Tim McGraw,Live Like You Were Dying,Curb
Jun 25,36,Lil Rob,Summer Nights,Upstairs
Jun 25,48,Tony Yayo Featuring 50 Cent,So Seductive,G-Unit 004936
Jun 25,55,Staind,Right Here,Flip Digital
Jun 25,56,Boyz N Da Hood,Dem Boyz,Bad Boy Album Cut
Jun 25,94,Omarion,Touch,T.U.G.
Jul 2,1,Carrie Underwood,Inside Your Heaven,Arista 70859
Jul 2,8,Fall Out Boy,"Sugar, We’re Goin’ Down",Fueled By Ramen/Island
Jul 2,17,Natasha Bedingfield,These Words,Epic
Jul 2,28,Brad Paisley,Alcohol,Arista Nashville Digital
Jul 2,37,Brooks &amp; Dunn,Play Something Country,Arista Nashville
Jul 2,59,SheDaisy,Don’t Worry ‘Bout A Thing,Lyric Street Album Cut
Jul 9,2,Bo Bice,Inside Your Heaven,RCA 69495
Jul 9,33,My Chemical Romance,Helena (So Long &amp; Goodnight),Reprise
Jul 9,38,Sara Evans,A Real Fine Place To Start,RCA Nashville
Jul 9,65,R. Kelly Featuring The Game,Playa’s Only,Jive 70671
Jul 9,79,Common,Go!,G.O.O.D. 004924
Jul 9,93,Reba McEntire,My Sister,MCA Nashville
Jul 9,97,"Bravery, The",An Honest Mistake,Island
Jul 9,99,Alan Jackson,The Talkin’ Song Repair Blues,Arista Nashville
Jul 16,13,Gwen Stefani,Cool,Interscope 005480
Jul 16,14,Jessica Simpson,These Boots Are Made For Walkin’,Columbia 80166
Jul 16,29,Ying Yang Twins Featuring Mike Jones &amp; Mr. ColliPark,Badd,TVT 2524
Jul 16,51,Bobby Valentino,Tell Me,DTP/Def Jam 004850
Jul 16,52,Rob Thomas,This Is How A Heart Breaks,Melisma
Jul 16,59,Tim McGraw,Do You Want Fries With That,Curb
Jul 16,60,Jermaine Dupri,Gotta Getcha,So So Def 12608
Jul 16,66,Van Zant,Help Somebody,Columbia
Jul 16,81,Jason Mraz,Wordplay,Atlantic
Jul 23,6,50 Cent Featuring Mobb Deep,Outta Control (Remix),Shady/Aftermath 005439
Jul 23,7,David Banner,Play,SRC/Universal 005047
Jul 23,48,Paul McCartney with U2,Sgt. Pepper’s Lonely Hearts Club Band (Live),Interscope
Jul 23,67,Young Jeezy Featuring Mannie Fresh,And Then What,Sho’nuff/Def Jam 004631
Jul 23,84,NB Ridaz Featuring Angelina,Notice Me,NastyBoy
Jul 30,70,Seether,Remedy,Wind-up Album Cut
Jul 30,1,Kanye West Featuring Jamie Foxx,Gold Digger,Roc-A-Fella/Def Jam 005118
Jul 30,2,Mariah Carey,Shake It Off,Island
Jul 30,11,"Click 5, The",Just The Girl,Lava
Jul 30,51,Jamie O’Neal,Somebody’s Hero,Capitol
Jul 30,55,Damian “Jr. Gong” Marley,Welcome To Jamrock,Ghetto Youths/Tuff Gong 8730
Jul 30,82,Relient K,Be My Escape,Gotee Digital
Aug 6,9,"All-American Rejects, The",Dirty Little Secret,Doghouse Digital
Aug 6,3,Bow Wow Featuring Ciara,Like You,Columbia 80449
Aug 6,6,Green Day,Wake Me Up When September Ends,Reprise Digital
Aug 6,12,Pretty Ricky,Your Body,Atlantic 94131
Aug 6,41,Montgomery Gentry,Something To Be Proud Of,Columbia
Aug 6,45,Craig Morgan,Redneck Yacht Club,Broken Bow
Aug 6,67,Charlie Wilson,"Charlie, Last Name Wilson",Jive Digital
Aug 6,67,PSC Featuring T.I. &amp; Lil Scrappy,I’m A King,Grand Hustle  93909
Aug 6,78,Trisha Yearwood,Georgia Rain,MCA Nashville
Aug 13,14,"Black Eyed Peas, The",Don’t Lie,A&amp;M
Aug 13,30,Akon,Belly Dancer (Bananza),SRC Universal 004950
Aug 13,47,Josh Gracin,Stay With Me (Brass Bed),Lyric Street
Aug 13,68,Jason Aldean,Hicktown,Broken Bow Digital
Aug 13,87,Trey Songz Featuring Twista,Gotta Make It,Song Book 93703
Aug 20,3,"Black Eyed Peas, The",My Humps,A&amp;M 005585
Aug 20,33,Cast Of Rent,Seasons Of Love,Warner Bros
