artist,artist_id
Daniel Powter,7xTcuBOIAAIGDOSvwYFPzk
Keri Hilson,63wjoROpeh5f11Qm93UiJ1
Blue,2yEkZBBjhzKzt6LF5XMaFi
Shaggy,5EvFsr3kj42KNv97ZEnqij
T.I.,4OBJLual30L7gRl5UkeRcT
Dixie Chicks,25IG9fa7cbdmCIy3OnuH57
Daniel Bedingfield,11hIqBsGRPztdjBHCSLClX
Coldplay,4gzpq5DPGxSnKTe4SA8HAU
OutKast,1G9G7WwrXka3Z1r7aIDjI7
Snow Patrol,3rIZMv9rysU7JkLzEaC5Jp
Uncle Kracker,2DnqqkzzDKm3vAoyHtn8So
Foster The People,7gP3bB2nilZXLfPHJhMdvc
Blu Cantrell,6vytZ677lz4LzCrUDcDokM
Linkin Park,6XyY86QOPPrYVGvF9ch6wz
CeeLo Green,5nLYd9ST4Cnwy6NHaCxbj8
Jennifer Lopez,2DlGxzQSjYe5N6G9nkYghR
Michelle Branch,5rScKX1Sh1U67meeUyTGwk
The Veronicas,1dIdBZaaHRW2bDTkHNfWln
Fat Joe,3ScY9CQxNLQei8Umvpx5g6
Baby Bash,12PSlydMSjEHzSCj9X5qv7
Mary Mary,12Kgt2eahvxNWhD5PnSUde
James Blunt,7KMqksf0UMdyA0UCf4R3ux
JAY Z,3nFkdlSjzX9mRTtwJOzDYB
Florence + The Machine,1moxjboGR7GNWYIMWsRjgG
Muse,12Chz98pHFMPJEknJQMWvI
Ronan Keating,3nlHsNqwCSvT988ZfSW1Yh
The Shins,4LG4Bs1Gadht7TCrMytQUO
The Coral,6OiHleP2bHM18dXq4aZQWt
Amy Winehouse,6Q192DXotxtaysaqNPy5yR
Reamonn,4VH2QabEORUUhN1F1cYQ6N
Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5
Empire of the Sun,67hb7towEyKvt5Z8Bx306c
La Roux,3K2zB87GZv1krx031en5VA
No Doubt,0cQbJU1aAzvbEmTuljWLlF
Angie Stone,2hWr3AjjKOCVmWcwvuT4uM
The Ark,73ib5ljBj2xAIR7R3hTwF4
Bomfunk MC's,0NeC6ploeJUq8oDwYQjNPS
