artist,artist_id,date
Ana Guerra,3MRynBsyLGzv3IQ9Fip6hO,2019-05-12
Morat,5C4PDR4LnhZTbVnKWXuDKD,2019-05-12
Adonay Santana,2UT4uT6JFXXzHgyITNvKDu,2019-05-12
Sofia Reyes,0haZhu4fFKt0Ag94kZDiz2,2019-05-12
Beret,0ZHPrnImGh4re3TbSNkoZl,2019-05-12
Alle Farben,61ipISvUVa5LkJlKZnm3Oo,2019-05-12
Lukas Graham,25u4wHJWxCA9vO0CzxAbK7,2019-05-12
Manuel Carrasco,7qAoXV4U0qDxQAUqhszjAA,2019-05-12
Danny Ocean,5H1nN1SzW0qNeUEZvuXjAj,2019-05-12
Sweet California,0D48D7HFC7NtWKftvsDIXq,2019-05-12
Macaco,7mUBMaZW1MXGswaneb0JTT,2019-05-12
Lester Williams,3V3FoZVMIZkrolqMyZk2Fd,2019-05-12
Tara Mcdonald,2yWER4vAftcZCFPc7ednct,2019-05-12
Alejandro Sanz,5sUrlPAHlS9NEirDB8SEbF,2019-05-12
Ana Mena,6k8mwkKJKKjBILo7ypBspl,2019-05-12
Aitana,7eLcDZDYHXZCebtQmVFL25,2019-05-12
HRVY,28y6CyJNkGNjJQKrlx4AmN,2019-05-12
Melendi,1EXjXQpDx2pROygh8zvHs4,2019-05-12
Mady Kohl,6Wv7D69W48pFayegdEjxZu,2019-05-12
Blas Cantó,3IJtdFn9IKbFvNvZqOJA46,2019-05-12
Bovie,37GC93B6pXWp7gOz6adiIZ,2019-05-19
Miss Caffeina,1uvhwixGrZkuT2gpQQWgYb,2019-05-19
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,2019-06-02
Maluma,1r4hJ1h58CWwUQe3MxPuau,2019-06-02
Max George,1RDRqPYnN9dTo41jhKth2F,2019-06-02
ISAK,0avR7AQoiuRhmnTScYtURa,2019-06-02
Dani Fernández,0CVOcYvRcSvOXyuR4YGKaC,2019-06-02
Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,2019-06-02
Ea Kaya,2cMDCP6zOLaPPbOXMD4193,2019-06-09
Maggie Petkovic,4rmsluJ1ixlFq3ZoKrpsTn,2019-06-09
Vanesa Martín,5kSJMVPcTITrSZxTrHllVN,2019-06-09
Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,2019-06-09
Nathan Trent,6U4uEoS3ISgppqupG6GJoZ,2019-06-16
Don Patricio,6vPXtLmNd3mW0dd1Rb9eQ9,2019-06-16
Mahmood,06nvjg4wBANK6DCHjqtPNd,2019-06-16
Sinsinati,2rGri7YZ2eiCS58zgvmlQb,2019-06-16
Daddy Yankee,4VMYDCV2IEDYJArk749S6m,2019-06-23
OT,5Z2qwZm9NB9FeYDhw2fxA3,2019-06-23
Katy Perry,6jJ0s89eD6GaHleKKya26X,2019-06-23
Alfred García,0CQgFG7XHyXRpSi24kl0cx,2019-06-23
Pol Granch,1aMt4A5jrQHxDYyC7rXgV0,2019-06-23
JST FRNDS,7liK6kUh6nKLH7NpvU1PLQ,2019-06-23
Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,2019-06-30
thisisNAMASTE,4VYOfst5n6CAQy7cf9PV4d,2019-06-30
YVR,42Wixprv3RQYct8e3nJO1S,2019-07-07
Anitta,7FNnA9vBm6EKceENgCGRMb,2019-07-07
On The Outside,13Li6fzmLzxxOzMEIRr0TN,2019-07-14
SAARLOOS,5PkPEYDAzPR5pJhiqPCy6y,2019-07-14
Bombai,4sbKCRFKQ8sAUn1pWR5iKZ,2019-07-21
David Bisbal,5gOJTI4TusSENizxhcG7jB,2019-07-21
Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,2019-07-21
Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,2019-07-21
Alec Benjamin,5IH6FPUwQTxPSXurCrcIov,2019-08-04
MATTN,1RQ3ZwCNI7KniEKIN5kkio,2019-08-04
Naeman,2hIvmgGacBSX5BgmHiQHrX,2019-08-11
Addictive Pandas,45gQz9hbdaEtWO9OsDHWD4,2019-08-11
Tears For Fears,4bthk9UfsYUYdcFyqxmSUU,2019-05-12
Bryan Adams,3Z02hBLubJxuFJfhacLSDc,2019-05-12
Queen,1dfeR4HaWDbWqFHLkxsg1d,2019-05-12
Kim Carnes,5PN2aHIvLEM98XIorsPMhE,2019-05-12
Simple Minds,6hN9F0iuULZYWXppob22Aj,2019-05-12
Soft Cell,6aq8T2RcspxVOGgMrTzjWc,2019-05-12
Blondie,4tpUmLEVLCGFr93o8hFFIB,2019-05-12
The Police,5NGO30tJxFlKixkPSgXcFE,2019-05-12
Tom Petty,2UZMlIwnkgAEDBsw1Rejkn,2019-05-12
The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,2019-05-12
Freddie Mercury,4M1FpEWs2PeYfJe7xxJfhH,2019-05-12
Fine Young Cannibals,20p5D2KrE8CGuOjHtxsyTp,2019-05-12
Bon Jovi,58lV9VcRSjABbAbfWS6skp,2019-05-12
